calendar_quarter,formation_date,next_formation_date,side,ticker,cik,filed_date,report_type,max_abs_shrink,leg_weight,signed_weight
2018Q1,2018-03-30,2018-06-29,short,MTCH,891103,2018-03-01,10-K,0.1796875,0.01098901098901099,-0.01098901098901099
2018Q2,2018-06-29,2018-09-27,long,GOOGL,1652044,2018-04-24,10-Q,0.235107421875,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,BSX,885725,2018-05-01,10-Q,0.236083984375,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,L,60086,2018-04-30,10-Q,0.2362060546875,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,HES,4447,2018-05-01,10-Q,0.236328125,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,NTRS,73124,2018-05-04,10-Q,0.2364501953125,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,SNA,91440,2018-04-19,10-Q,0.236572265625,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,FICO,814547,2018-04-26,10-Q,0.23681640625,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,MSFT,789019,2018-04-26,10-Q,0.2374267578125,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,UPS,1090727,2018-05-03,10-Q,0.237548828125,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,AFL,4977,2018-05-04,10-Q,0.2376708984375,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,NFLX,1065280,2018-04-18,10-Q,0.238037109375,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,MDLZ,1103982,2018-05-02,10-Q,0.23876953125,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,AMT,1053507,2018-05-02,10-Q,0.2388916015625,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,DAY,1725057,2018-05-24,10-Q,0.239013671875,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,MAR,1048286,2018-05-10,10-Q,0.2408447265625,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,LYB,1489393,2018-04-27,10-Q,0.241943359375,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,EXC,1109357,2018-05-02,10-Q,0.2420654296875,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,TRMB,864749,2018-05-09,10-Q,0.242431640625,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,GS,886982,2018-05-04,10-Q,0.2430419921875,0.010869565217391304,0.010869565217391304
2018Q2,2018-06-29,2018-09-27,long,DUK,1326160,2018-05-10,10-Q,0.2431640625,0.010869565217391304,0.010869565217391304
